Game,Mean,SD,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Player,Price,Year,Developer,Publisher,isIndie,hasAchv,hasSteamCloud,controllerSupport,accountRequired,hasKernel
terraria,30887,4608,Open World Survival Craft,Sandbox,Survival  ,2D,Pixel Graphics,Hybrid,9.99,2011,Re-Logic,Re-Logic,1,1,1,2,0,0
isaacrebirth,30807,5512,Action Roguelike,Roguelike,Indie,Replay Value,Dungeon Crawler,Singleplayer,14.99,2014,hasMultiple,"Nicalis, Inc",1,1,1,2,0,0
farmingsimulator25,29447,12177,Simulation,Farming Sim,Realistic,Immersive Sim,First-Person,Hybrid,49.99,2024,Giants Software,Giants Software,1,1,1,2,0,0
oncehuman,29327,5595,Multiplayer,Open World Survival Craft,Survival,Horror,Free to Play,Multiplayer,0,2024,Starry Studio,Starry Studio,0,0,0,2,0,0
tmodloader,29168,4562,Adventure,Free to Play,Action,Indie,RPG,Hybrid,0,2020,TML Team,hasMultiple,1,0,1,0,0,0
l4d2,29080,5105,Zombies,Co-Op,FPS,Multiplayer,Shooter,Hybrid,9.99,2009,Valve,Valve,0,1,1,2,0,0
dynwarriors,29000,6737,Hack and Slash,Spectacle Fighter,Wargame,RPG,Martial Arts,Singleplayer,69.99,2025,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0,1,1,2,0,0
skyrim,28761,5889,Open World,RPG,Adventure,Singleplayer,Fantasy,Singleplayer,39.99,2016,Bethesda Game Studios,Bethesda Softworks,0,1,1,1,0,0
payday2,28506,1132,Co-Op,Action,FPS,Heist,Crime,Hybrid,9.99,2013,OVERKILL,Starbreeze Publishing AB,0,1,1,2,0,0
lostark,28247,3916,MMORPG,Free to Play,Action RPG,Hack and Slash,Character Customization,Hybrid,0,2022,Smilegate RPG,Amazon Games,0,1,0,1,0,1
warhammer3,28198,5371,Strategy,Turn-Based Strategy,Grand Strategy,RTS,Fantasy,Hybrid,59.99,2022,hasMultiple,hasMultiple,0,1,1,0,0,0
7daystodie,28033,4226,Survival,Zombies,Multiplayer,Open World,Base Building,Hybrid,44.99,2024,The Fun Pimpsq,The Fun Pimps Entertainment LLC,1,1,0,2,0,1
ark,27926,5346,Open World Survival Craft,Survival,Multiplayer,Building,Dinosaurs,Hybrid,14.99,2017,hasMultiple,hasMultiple,1,1,1,2,0,0
factorio,27262,5612,Automation,Base Building,Resource Management,Sandbox,Strategy,Hybrid,35,2020,Wube Software LTD. ,Wube Software LTD.,1,1,1,1,0,0
valheim,26033,7664,Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer,Hybrid,19.99,2021,Iron Gaet AB,Coffee Stain Publishing,1,0,1,2,0,0
witcher3,25986,7408,Open World,RPG,Story Rich,Atmospheric,Mature,Singleplayer,39.99,2015,CD PROJEKT RED,CD PROJEKT RED,0,1,1,1,0,0
phasmophobia,23485,7658,Horror,Online Co-Op,Multiplayer,Co-Op,Investigation,Hybrid,19.99,2020,Kinetic Games,Kinetic Games,1,1,1,2,0,0
mountandbladebanner,23330,5704,Medieval,Strategy,Open World,RPG,War,Hybrid,49.99,2022,TaleWorlds Entertainment,TaleWorlds Entertainment,0,1,1,1,0,0
satisfactory,23290,5170,Base Building,Automation,Open World,Crafting,Resource Management,Hybrid,39.99,2024,Coffee Stain Studios,Coffee Stain Publishing,1,1,1,0,0,0
garrysmod,22940,5745,Sandbox,Moddable,Multiplayer,Physics,Casual,Hybrid,9.99,2006,Facepunch Studios,Valve,0,1,1,0,0,0
sonsoftheforest,22051,5857,Survival,Open World,Horror,Co-Op,Base Building,Hybrid,29.99,2024,Endnight Games Ltd,Newnight,1,1,1,2,0,0
overwatch2,21923,4206,Free to Play,Multiplayer,Hero Shooter,FPS,PvP,Multiplayer,0,2023,"Blizzard Entertainment, Inc","Blizzard Entertainment, Inc",0,1,0,2,1,0
2k25,20992,5638,Sports,Basketball,Simulation,eSports,3D,Hybrid,69.99,2024,Visual Concepts,2K,0,1,1,1,1,0
blackdesert,19756,2443,MMORPG,Massively Multiplayer,Open World,3D,RPG,Multiplayer,9.99,2017,Pearl Abyss,Pearl Abyss,0,0,0,1,1,0
stellaris,19235,2253,Space,Grand Strategy,Strategy,Sci-fi,Exploration,Hybrid,39.99,2016,Paradox Development Studio,Paradox Interactive,1,1,1,0,0,0
ageofempires2,19007,4036,Strategy,RTS,City Builder,Multiplayer,Classic,Hybrid,35.99,2019,hasMultiple,Xbox Game Studios,0,1,1,0,0,0
rocketleague,18899,6961,Multiplayer,Football (Soccer),Competitive,Sports,Racing,Hybrid,0,2015,Psyonix LLC,Psyonix LLC,0,1,1,1,1,0
crusaderkings3,18768,3854,Strategy,Medieval,Grand Strategy,Simulation,RPG,Hybrid,49.99,2020,Paradox Development Studio,Paradox Interactive,0,1,1,0,0,0
destiny2,18047,2504,Free to Play,Open World,Looter Shooter,FPS,MMORPG,Hybrid,0,2019,Bungie,Bungie,0,1,0,1,0,0
beamngdrive,18044,4783,Simulation,Driving,Physics,Realistic,Sandbox,Singleplayer,24.99,2015,BeamNG,BeamNG,1,1,1,2,0,0
ff14online,18034,3961,MMORPG,Open World,Fantasy,JRPG,Story Rich,Hybrid,19.99,2014,Square Enix,Square Enix,0,0,0,1,0,0
mir4,17651,524,PvE,MMORPG,Martial Arts,PvP,Open World  ,Multiplayer,0,2021,Wemade Next,Wemade,1,0,0,0,0,0
lethalcompany,16869,3930,Online Co-Op,Horror,First-Person,Co-Op,Exploration,Hybrid,9.99,2023,Zeekerss,Zeekerss,1,0,0,1,0,0
yugiohmasterduel,16661,3313,Card Game,Free to Play,Strategy,Multiplayer,PvP,Hybrid,0,2022,KONAMI,KONAMI,0,1,0,0,0,0
squad,16489,4171,Military,Realistic,FPS,Multiplayer,Tactical,Multiplayer,49.99,2020,Offworld,Offworld,0,0,0,1,0,1
europauniversalis4,16413,3726,Grand Strategy,Strategy,Historical,Simulation,Military,Hybrid,49.99,2013,hasMultiple,Paradox Interactive,0,1,1,0,0,0
scum,16287,3457,Survival,Open World Survival Craft,Multiplayer,Zombies,Nudity,Hybrid,39.99,2018,Gamepires,Jagex Ltd,0,1,0,0,0,0
limbuscompany,16137,4980,Lore-Rich,Story Rich,Turn-Based Tactics,RPG,Free to Play,Singleplayer,0,2023,ProjectMoon,ProjectMoon,1,0,0,0,0,0
unturned,15506,1537,Free to Play,Survival,Zombies,Multiplayer,Open World,Hybrid,0,2017,Smartly Dressed Games,Smartly Dressed Games,1,1,1,0,0,1
civ5,15413,2643,Turn-Based Strategy,Strategy,Multiplayer,Historical,Grand Strategy,Singleplayer,29.99,2010,hasMultiple,2K,0,1,1,0,0,0
geometrydash,15090,3459,Difficult,Music,Level Editor,Great Soundtrack,Precision Platformer,Singleplayer,4.99,2014,RobTop Games,RobTop Games,1,1,0,1,0,0
governorofpoker3,14664,242,Gambling,Card Game,Free to Play,Multiplayer,Sports,Multiplayer,0,2016,Playtika Ltd.,Playtika Ltd.,1,0,0,0,0,0
slaythespire,14444,2328,Roguelike Deckbuilder,Card Game,Card Battler,Roguelike,Turn-Based   ,Singleplayer,24.99,2019,Mega Crit,Mega Crit,1,1,1,2,0,0
fallout4,14409,2604,Open World,Post-apocalyptic,Singleplayer,RPG,Exploration,Singleplayer,19.99,2015,Bethesda Game Studios,Bethesda Softworks,0,1,1,2,0,0
deadlock,13307,3175,MOBA,Multiplayer,Third-Person Shooter,Competitive,Hero Shooter,Multiplayer,0,2024,Valve,Valve,0,0,0,0,0,0
thefinals,12877,2131,Destruction,Free to Play,Shooter,FPS,PvP,Multiplayer,0,2023,Embark Studios,Embark Studios,1,1,0,2,1,1
darkanddarker,12710,1501,Early Access,Dungeon Crawler,Multiplayer,Loot,Medieval,Multiplayer,0,2024,IRONMACE,IRONMACE,1,0,0,0,0,0
readyornot,12254,2075,Tactical,Realistic,FPS,Shooter,Multiplayer,Hybrid,49.99,2023,VOID Interactive,VOID Interactive,1,1,1,2,0,0
cookieclicker,12207,786,Clicker,Idler,Casual,Indie,Pixel Graphics,Singleplayer,4.99,2021,hasMultiple,Playsaurus,1,1,1,0,0,0
thefirstdescendant,10826,1356,Free to Play,Sexual Content,Looter Shooter,Third-Person Shooter,RPG,Hybrid,0,2024,"NEXON Games Co., Ltd.",NEXON,0,0,0,1,0,1
heroesofhammerwatch2,9631,2567,RPG,Action,RPG,Roguelike,2D,Hybrid,17.99,2025,Crackshell,Crackshell,1,1,1,2,0,0
legendsofidleonmmo,7716,701,Idler,Pixel Graphics,Management,MMORPG,Free to Play,Hybrid,0,2021,Lavaflame2,Lavaflame2,1,1,0,0,0,0
armareforger,7433,2270,Military,Simulation,Action,Shooter,Realistic,Hybrid,39.99,2023,Bohemia Interactive,Bohemia Interactive,0,1,1,2,0,1
smite2,2991,1241,Early Access,Action,MOBA,Third Person,PvP,Multiplayer,0,2024,Titan Forge Games,Hi-Rez Studios,0,1,0,2,0,1
