"DateTime","Users","Average Users"
"2018-01-21 00:00:00",430,
"2018-01-22 00:00:00",359,
"2018-01-23 00:00:00",570,
"2018-01-24 00:00:00",5177,
"2018-01-25 00:00:00",362,
"2018-01-26 00:00:00",367,
"2018-01-27 00:00:00",340,
"2018-01-28 00:00:00",468,
"2018-01-29 00:00:00",1944,
"2018-01-30 00:00:00",5862,
"2018-01-31 00:00:00",3637,
"2018-02-01 00:00:00",397,
"2018-02-02 00:00:00",580,
"2018-02-03 00:00:00",466,
"2018-02-04 00:00:00",414,
"2018-02-05 00:00:00",343,
"2018-02-06 00:00:00",5681,
"2018-02-07 00:00:00",3120,
"2018-02-08 00:00:00",360,
"2018-02-09 00:00:00",695,
"2018-02-10 00:00:00",352,
"2018-02-11 00:00:00",354,
"2018-02-12 00:00:00",335,
"2018-02-13 00:00:00",6151,
"2018-02-14 00:00:00",4687,
"2018-02-15 00:00:00",2024,
"2018-02-16 00:00:00",541,
"2018-02-17 00:00:00",428,
"2018-02-18 00:00:00",406,
"2018-02-19 00:00:00",412,
"2018-02-20 00:00:00",7158,
"2018-02-21 00:00:00",4734,
"2018-02-22 00:00:00",341,
"2018-02-23 00:00:00",521,
"2018-02-24 00:00:00",1061,
"2018-02-25 00:00:00",460,
"2018-02-26 00:00:00",448,
"2018-02-27 00:00:00",6773,
"2018-02-28 00:00:00",4169,
"2018-03-01 00:00:00",399,
"2018-03-02 00:00:00",303,
"2018-03-03 00:00:00",638,
"2018-03-04 00:00:00",341,
"2018-03-05 00:00:00",295,
"2018-03-06 00:00:00",5917,
"2018-03-07 00:00:00",3085,
"2018-03-08 00:00:00",2386,
"2018-03-09 00:00:00",350,
"2018-03-10 00:00:00",498,
"2018-03-11 00:00:00",396,
"2018-03-12 00:00:00",303,
"2018-03-13 00:00:00",5686,
"2018-03-14 00:00:00",3859,
"2018-03-15 00:00:00",7538,
"2018-03-16 00:00:00",567,
"2018-03-17 00:00:00",539,
"2018-03-18 00:00:00",686,
"2018-03-19 00:00:00",308,
"2018-03-20 00:00:00",5815,
"2018-03-21 00:00:00",3603,
"2018-03-22 00:00:00",294,
"2018-03-23 00:00:00",318,
"2018-03-24 00:00:00",581,
"2018-03-25 00:00:00",327,
"2018-03-26 00:00:00",290,
"2018-03-27 00:00:00",259,
"2018-03-28 00:00:00",5130,
"2018-03-29 00:00:00",3748,
"2018-03-30 00:00:00",592,
"2018-03-31 00:00:00",461,
"2018-04-01 00:00:00",522,
"2018-04-02 00:00:00",520,
"2018-04-03 00:00:00",5300,
"2018-04-04 00:00:00",6928,
"2018-04-05 00:00:00",393,
"2018-04-06 00:00:00",312,
"2018-04-07 00:00:00",286,
"2018-04-08 00:00:00",294,
"2018-04-09 00:00:00",309,
"2018-04-10 00:00:00",5077,
"2018-04-11 00:00:00",2246,
"2018-04-12 00:00:00",2159,
"2018-04-13 00:00:00",644,
"2018-04-14 00:00:00",417,
"2018-04-15 00:00:00",315,
"2018-04-16 00:00:00",243,
"2018-04-17 00:00:00",854,
"2018-04-18 00:00:00",275,
"2018-04-19 00:00:00",310,
"2018-04-20 00:00:00",256,
"2018-04-21 00:00:00",511,
"2018-04-22 00:00:00",313,
"2018-04-23 00:00:00",380,
"2018-04-24 00:00:00",5342,
"2018-04-25 00:00:00",2802,
"2018-04-26 00:00:00",267,
"2018-04-27 00:00:00",327,
"2018-04-28 00:00:00",611,
"2018-04-29 00:00:00",341,
"2018-04-30 00:00:00",801,
"2018-05-01 00:00:00",4982,
"2018-05-02 00:00:00",2790,
"2018-05-03 00:00:00",292,
"2018-05-04 00:00:00",310,
"2018-05-05 00:00:00",672,
"2018-05-06 00:00:00",434,
"2018-05-07 00:00:00",294,
"2018-05-08 00:00:00",4622,
"2018-05-09 00:00:00",3355,
"2018-05-10 00:00:00",3396,
"2018-05-11 00:00:00",1033,
"2018-05-12 00:00:00",816,
"2018-05-13 00:00:00",764,
"2018-05-14 00:00:00",296,
"2018-05-15 00:00:00",5244,
"2018-05-16 00:00:00",3356,
"2018-05-17 00:00:00",5236,
"2018-05-18 00:00:00",2285,
"2018-05-19 00:00:00",752,
"2018-05-20 00:00:00",353,
"2018-05-21 00:00:00",293,
"2018-05-22 00:00:00",5431,
"2018-05-23 00:00:00",3132,
"2018-05-24 00:00:00",5152,
"2018-05-25 00:00:00",4169,
"2018-05-26 00:00:00",738,
"2018-05-27 00:00:00",243,
"2018-05-28 00:00:00",686,
"2018-05-29 00:00:00",4868,
"2018-05-30 00:00:00",2651,
"2018-05-31 00:00:00",302,
"2018-06-01 00:00:00",752,
"2018-06-02 00:00:00",571,
"2018-06-03 00:00:00",708,
"2018-06-04 00:00:00",343,
"2018-06-05 00:00:00",6291,
"2018-06-06 00:00:00",3256,
"2018-06-07 00:00:00",386,
"2018-06-08 00:00:00",793,
"2018-06-09 00:00:00",6640,
"2018-06-10 00:00:00",569,
"2018-06-11 00:00:00",398,
"2018-06-12 00:00:00",6621,
"2018-06-13 00:00:00",3567,
"2018-06-14 00:00:00",3186,
"2018-06-15 00:00:00",478,
"2018-06-16 00:00:00",388,
"2018-06-17 00:00:00",343,
"2018-06-18 00:00:00",370,
"2018-06-19 00:00:00",7274,
"2018-06-20 00:00:00",2650,
"2018-06-21 00:00:00",353,
"2018-06-22 00:00:00",497,
"2018-06-23 00:00:00",646,
"2018-06-24 00:00:00",809,
"2018-06-25 00:00:00",745,
"2018-06-26 00:00:00",3035,
"2018-06-27 00:00:00",6725,
"2018-06-28 00:00:00",662,
"2018-06-29 00:00:00",797,
"2018-06-30 00:00:00",783,
"2018-07-01 00:00:00",867,
"2018-07-02 00:00:00",691,
"2018-07-03 00:00:00",871,
"2018-07-04 00:00:00",761,
"2018-07-05 00:00:00",779,
"2018-07-06 00:00:00",777,
"2018-07-07 00:00:00",818,
"2018-07-08 00:00:00",917,
"2018-07-09 00:00:00",800,
"2018-07-10 00:00:00",9851,
"2018-07-11 00:00:00",5349,
"2018-07-12 00:00:00",5518,
"2018-07-13 00:00:00",851,
"2018-07-14 00:00:00",727,
"2018-07-15 00:00:00",863,
"2018-07-16 00:00:00",741,
"2018-07-17 00:00:00",7703,
"2018-07-18 00:00:00",6223,
"2018-07-19 00:00:00",397,
"2018-07-20 00:00:00",389,
"2018-07-21 00:00:00",677,
"2018-07-22 00:00:00",782,
"2018-07-23 00:00:00",8233,
"2018-07-24 00:00:00",6987,
"2018-07-25 00:00:00",1375,
"2018-07-26 00:00:00",7084,
"2018-07-27 00:00:00",8964,
"2018-07-28 00:00:00",3454,
"2018-07-29 00:00:00",791,
"2018-07-30 00:00:00",784,
"2018-07-31 00:00:00",8125,
"2018-08-01 00:00:00",4820,
"2018-08-02 00:00:00",575,
"2018-08-03 00:00:00",2299,
"2018-08-04 00:00:00",783,
"2018-08-05 00:00:00",768,
"2018-08-06 00:00:00",970,
"2018-08-07 00:00:00",9177,
"2018-08-08 00:00:00",5568,
"2018-08-09 00:00:00",8887,
"2018-08-10 00:00:00",5720,
"2018-08-11 00:00:00",822,
"2018-08-12 00:00:00",754,
"2018-08-13 00:00:00",572,
"2018-08-14 00:00:00",8057,
"2018-08-15 00:00:00",5070,
"2018-08-16 00:00:00",1313,
"2018-08-17 00:00:00",8020,
"2018-08-18 00:00:00",787,
"2018-08-19 00:00:00",605,
"2018-08-20 00:00:00",1567,
"2018-08-21 00:00:00",786,
"2018-08-22 00:00:00",847,
"2018-08-23 00:00:00",892,
"2018-08-24 00:00:00",953,
"2018-08-25 00:00:00",799,
"2018-08-26 00:00:00",968,
"2018-08-27 00:00:00",9775,
"2018-08-28 00:00:00",7665,
"2018-08-29 00:00:00",3781,
"2018-08-30 00:00:00",802,
"2018-08-31 00:00:00",1713,
"2018-09-01 00:00:00",979,
"2018-09-02 00:00:00",1073,
"2018-09-03 00:00:00",1113,
"2018-09-04 00:00:00",5712,
"2018-09-05 00:00:00",3276,
"2018-09-06 00:00:00",3213,
"2018-09-07 00:00:00",803,
"2018-09-08 00:00:00",643,
"2018-09-09 00:00:00",800,
"2018-09-10 00:00:00",723,
"2018-09-11 00:00:00",5102,
"2018-09-12 00:00:00",4928,
"2018-09-13 00:00:00",718,
"2018-09-14 00:00:00",685,
"2018-09-15 00:00:00",813,
"2018-09-16 00:00:00",952,
"2018-09-17 00:00:00",722,
"2018-09-18 00:00:00",5479,
"2018-09-19 00:00:00",4486,
"2018-09-20 00:00:00",864,
"2018-09-21 00:00:00",556,
"2018-09-22 00:00:00",479,
"2018-09-23 00:00:00",516,
"2018-09-24 00:00:00",683,
"2018-09-25 00:00:00",5059,
"2018-09-26 00:00:00",3871,
"2018-09-27 00:00:00",390,
"2018-09-28 00:00:00",3711,
"2018-09-29 00:00:00",487,
"2018-09-30 00:00:00",616,
"2018-10-01 00:00:00",381,
"2018-10-02 00:00:00",5927,
"2018-10-03 00:00:00",3871,
"2018-10-04 00:00:00",544,
"2018-10-05 00:00:00",479,
"2018-10-06 00:00:00",469,
"2018-10-07 00:00:00",485,
"2018-10-08 00:00:00",440,
"2018-10-09 00:00:00",5464,
"2018-10-10 00:00:00",4590,
"2018-10-11 00:00:00",3281,
"2018-10-12 00:00:00",857,
"2018-10-13 00:00:00",1325,
"2018-10-14 00:00:00",521,
"2018-10-15 00:00:00",590,
"2018-10-16 00:00:00",5817,
"2018-10-17 00:00:00",4467,
"2018-10-18 00:00:00",389,
"2018-10-19 00:00:00",419,
"2018-10-20 00:00:00",458,
"2018-10-21 00:00:00",554,
"2018-10-22 00:00:00",386,
"2018-10-23 00:00:00",6496,
"2018-10-24 00:00:00",3407,
"2018-10-25 00:00:00",440,
"2018-10-26 00:00:00",447,
"2018-10-27 00:00:00",528,
"2018-10-28 00:00:00",490,
"2018-10-29 00:00:00",811,
"2018-10-30 00:00:00",6564,
"2018-10-31 00:00:00",4133,
"2018-11-01 00:00:00",3603,
"2018-11-02 00:00:00",2380,
"2018-11-03 00:00:00",513,
"2018-11-04 00:00:00",486,
"2018-11-05 00:00:00",372,
"2018-11-06 00:00:00",5960,
"2018-11-07 00:00:00",4618,
"2018-11-08 00:00:00",4992,
