Hour,AvgPlayers
0,83529.09216589862
1,84046.76497695853
2,85464.5391705069
3,84840.69124423963
4,80984.86635944701
5,74374.75691244239
6,65919.79523809523
7,56796.91904761905
8,49752.142857142855
9,45434.67142857143
10,46396.428571428565
11,51061.41428571429
12,57457.65714285714
13,63552.5380952381
14,67433.31428571428
15,69770.99047619048
16,73215.10476190476
17,77625.9238095238
18,82563.0
19,88214.5761904762
20,91570.04285714286
21,91891.61904761904
22,90107.23333333334
23,86019.66666666667
