Hour,AvgPlayers
0,27603.0599078341
1,25416.921658986175
2,24397.400921658984
3,23733.875576036866
4,22783.16589861751
5,21540.42703533026
6,20189.466666666667
7,19112.485714285714
8,19166.157142857144
9,20315.114285714288
10,22064.347619047618
11,23912.09523809524
12,25974.8
13,27922.780952380952
14,29619.42380952381
15,30790.6
16,31674.87619047619
17,32450.75238095238
18,33671.26666666667
19,35191.647619047624
20,35981.34285714286
21,35791.6
22,34077.04761904762
23,30906.628571428573
